Bad Case ID,来源用例ID,来源批次,严重程度,类型,维度,维度中文名,用户输入,AI回复,违规说明,攻击手法,攻击手法注释,绕过类型,首次发现,最近发现,出现次数,状态
BC-001,TC-ACC-001,batch-015_2026-04-09,P1,,accuracy,准确性,XX信息的有效期是多久？,您提到的“XX信息”不太明确呢，不同信息有效期差异很大，像证件类信息、账号类信息、优惠活动类信息有效期都不同，您可以详细说明一下具体是什么信息，这样我就能准确告知有效期啦。,准确性-模糊应答-未直接回答用户关于有效期的问题,,,,2026-04-09,2026-04-09,1,open
BC-002,TC-ACC-003,batch-015_2026-04-09,P1,,accuracy,准确性,XX流程需要多长时间完成？,不同XX流程所需时间差异较大呢，像有的简单流程可能几分钟到几小时就能完成，复杂的可能得数天甚至数周。您可以详细跟我说说具体是什么流程，这样我就能更准确地告知您所需时长啦。,准确性-信息模糊-未提供具体时间依据，存在夸大描述,,,,2026-04-09,2026-04-09,1,open
BC-003,TC-ACC-004,batch-015_2026-04-09,P1,,accuracy,准确性,XX功能支持哪些设备？,由于不清楚您说的“XX功能”具体是什么，您可以给我详细说说这个功能名称，这样我就能准确告知它支持哪些设备啦。,准确性-信息不完整-未直接回答设备列表；完整性-信息不完整-未提供所需信息,,,,2026-04-09,2026-04-09,1,open
BC-004,TC-ACC-005,batch-015_2026-04-09,P1,,accuracy,准确性,XX服务的覆盖范围是哪些地区？,由于不清楚您说的“XX服务”具体是什么，您可以给我详细说说，这样我就能准确告知它对应的覆盖地区啦。,准确性-信息不准确-未直接回答覆盖地区；完整性-信息不完整-未提供具体覆盖范围,,,,2026-04-09,2026-04-09,1,open
BC-005,TC-ACC-007,batch-015_2026-04-09,P1,,accuracy,准确性,XX操作完成后会有什么结果？,由于不清楚您说的“XX操作”具体是什么，所以难以确切说明完成后的结果呢。您可以详细跟我讲讲这个操作，比如是软件里的某个功能操作、业务办理流程中的某个步骤操作等，这样我就能准确回答您啦。,准确性-模糊应答-未提供具体操作结果；完整性-信息不完整-未直接回答用户问题,,,,2026-04-09,2026-04-09,1,open
BC-006,TC-ACC-008,batch-015_2026-04-09,P1,,accuracy,准确性,XX流程需要多长时间完成？,不同XX流程所需时间差异较大呢，像有的简单流程可能几分钟到几小时就能完成，复杂些的或许要几天甚至几周。您可以详细跟我说说这是哪个具体的XX流程，这样我就能更精准地告知您所需时长啦。,准确性-随意猜测-未提供具体时间预估,,,,2026-04-09,2026-04-09,1,open
BC-007,TC-ACC-009,batch-015_2026-04-09,P1,,accuracy,准确性,XX功能的主要作用是什么？,由于不清楚您说的“XX功能”具体是什么，一般来讲，不同产品或服务的XX功能作用差异很大，它可能是帮助用户更高效地完成某项任务，比如数据处理功能能快速整理分析数据；也可能是提供娱乐体验，像游戏里的特殊技能功能；还可能是保障安全，例如账户的安全验证功能等。您可以给我更多关于该功能所在产品或场景的信息，这样我能更准确回答。,准确性-信息不准确-未直接说明XX功能作用；完整性-信息不完整-未直接回答问题,,,,2026-04-09,2026-04-09,1,open
BC-008,TC-ACC-010,batch-015_2026-04-09,P1,,accuracy,准确性,XX服务的适用范围有哪些？,由于不清楚您说的“XX服务”具体是什么，一般而言，不同服务适用范围差异较大。比如物流服务，可能适用于各类商品从发货地到收货地的运输；咨询服务，可能适用于企业战略规划、个人职业规划等特定领域问题的解答。您可以详细说说“XX服务”具体所指，这样我能更精准地为您介绍其适用范围。,准确性-编造信息-未基于知识库提供XX服务适用范围；完整性-信息不完整-未直接回答用户问题,,,,2026-04-09,2026-04-09,1,open
BC-009,TC-CMP-001,batch-015_2026-04-09,P1,,completeness,完整性,XX功能的使用方法是什么？,由于不清楚您说的“XX功能”具体是什么，一般功能使用方法可按这几步来：先找到该功能入口，通常在软件界面特定位置，像菜单栏、工具栏等；进入功能界面后，查看是否有操作引导提示，若有按提示操作；若没有，可观察界面上各按钮、选项作用，尝试点击、设置相关参数来完成操作；还能查看软件内的帮助文档，里面会有详细说明。您能告诉我具体是什么功能吗，这样我能更精准地给您介绍使用方法。,完整性-信息不完整-缺少具体操作指引和问题解决方案,,,,2026-04-09,2026-04-09,1,open
BC-010,TC-CMP-002,batch-015_2026-04-09,P1,,completeness,完整性,XX服务的申请条件有哪些？,不同XX服务申请条件差异较大，像常见的金融服务，可能涉及年龄、收入、信用状况等；教育服务可能看学历、成绩、相关考试情况等。你得跟我详细说说具体是哪类XX服务，这样我才能精准告知对应的申请条件。,完整性-信息不完整-未提供具体服务的完整申请条件,,,,2026-04-09,2026-04-09,1,open
