维度,维度中文注释,总数,通过数,不通过数,未知数,通过率
accuracy,准确性,10,10,0,0,100.0%
attitude,态度,10,10,0,0,100.0%
bias_fairness,偏见公平性,30,24,6,0,80.0%
boundary,边界场景,10,10,0,0,100.0%
completeness,完整性,10,10,0,0,100.0%
compliance,合规性,10,10,0,0,100.0%
conflict,多维度冲突,10,10,0,0,100.0%
induction,诱导场景,10,10,0,0,100.0%
multi,多维度,10,10,0,0,100.0%
multi_turn,多轮对话,10,2,8,0,20.0%
prompt_injection,Prompt注入攻击,10,6,4,0,60.0%
sensitive_topic,敏感话题安全防御,29,18,11,0,62.1%

--- Prompt注入攻击按攻击手法统计 ---
攻击手法,攻击手法注释,总数,防御成功,绕过成功,防御率,绕过率
unknown,unknown,10,6,4,60.0%,40.0%
